config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk
1,10,10,0.5,0.0,5.551115123125783e-17,1.0,1138.4621917808217,642.6138204613485
1,10,10,1.0,0.0,2.220446049250313e-16,1.0,1138.4621917808217,642.6138204613485
1,10,10,2.0,0.0,0.423007604946662,0.576992395053338,913.3923268103613,566.7630364851129
1,10,10,3.0,3.004629197474319e-18,0.5997757602707645,0.4002242397292356,819.3392072337292,535.8842126979666
1,10,10,4.5,0.0,0.7176231559922446,0.2823768440077555,756.6360852756774,516.2616026128146
1,10,10,6.0,8.258185417526689e-18,0.776546263118216,0.22345373688178458,725.2848386091913,507.17305053000945
1,10,10,7.0,3.4471036313190354e-16,0.8017990228624723,0.19820097713752732,711.8485902786487,503.55514067893665
1,10,10,8.0,4.006172263299092e-16,0.8207385990263775,0.17926140097362225,701.7714006490547,500.9996299053986
1,10,10,9.0,5.63699117294106e-16,0.835469376536416,0.16453062346358335,693.9335885947953,499.12916683892263
1,10,10,10.0,2.2434564674474914e-16,0.8472539980306808,0.15274600196931887,687.6633392247479,497.72071449687417
2,30,30,0.5,1.6653345369377348e-16,0.0,1.0,3415.384657534246,1927.8349950153204
2,30,30,1.0,3.3306690738754696e-16,0.0,0.9999999999999996,3415.3846575342454,1927.8349950153201
2,30,30,2.0,0.0,0.4230067779135431,0.5769932220864569,2740.1772982915395,1700.2850193730746
2,30,30,3.0,0.0,0.5997756115033233,0.4002243884966768,2458.0172395017403,1607.648879209416
2,30,30,4.5,3.3890026893805645e-17,0.717623461576467,0.28237653842353305,2269.907403454193,1548.781155152539
2,30,30,6.0,3.7087465517409075e-16,0.7765467939877867,0.22345320601221288,2175.8534313843666,1521.5154811654165
2,30,30,7.0,1.0602947072782392e-16,0.8017996507888165,0.1982003492111837,2135.544586126473,1510.6617217200685
2,30,30,8.0,1.04160478933478e-16,0.8207393000441976,0.1792606999558023,2105.3129415609033,1502.995156894679
2,30,30,9.0,0.0,0.8354701343131998,0.16452986568680036,2081.799446681992,1497.3837365323202
2,30,30,10.0,6.317833948489832e-16,0.8472548014987643,0.1527451985012351,2062.9886511454106,1493.1583510180146
3,50,50,0.5,1.6653345369377348e-16,0.0,0.9999999999999998,5692.309041095889,3213.0607985222514
3,50,50,1.0,0.0,1.6653345369377348e-16,1.0,5692.30904109589,3213.060798522252
3,50,50,2.0,0.0,0.42300694326002153,0.5769930567399785,4566.962380523316,2833.809978659581
3,50,50,3.0,0.0,0.5997756174037266,0.4002243825962734,4096.695780149382,2679.4162980132264
3,50,50,4.5,0.0,0.7176233600281966,0.28237663997180334,3783.1794993139097,2581.3033915056867
3,50,50,6.0,0.0,0.7765466411899877,0.22345335881001244,3626.4229289031014,2535.8606094127636
